lsoacode,population_21
E01011681,1640
E01011684,1596
E01011685,2209
E01011686,1545
E01011687,1537
E01011688,1517
E01011689,1591
E01011690,1376
E01011691,1532
E01011692,1505
E01011693,1509
E01011694,1870
E01011695,1719
E01011696,1566
E01011697,2277
E01011698,1449
E01011699,1308
E01011700,1464
E01011701,1355
E01011702,1662
E01011703,1216
E01011704,2252
E01011705,1397
E01011706,1541
E01011707,1301
E01011708,1454
E01011709,2052
E01011710,1396
E01011711,1431
E01011712,1444
E01011713,1784
E01011714,1949
E01011715,1324
E01011716,1605
E01011717,1612
E01011718,1959
E01011719,1457
E01011720,1508
E01011721,1578
E01011722,2102
E01011723,1738
E01011724,1863
E01011725,1518
E01011726,1595
E01011727,1547
E01011728,1365
E01011729,1709
E01011730,1548
E01011731,1400
E01011732,1944
E01011733,1585
E01011734,2809
E01011735,1677
E01011736,1424
E01011737,1536
E01011738,1505
E01011739,1602
E01032487,1038
E01032488,1809
E01032489,2107
E01032490,1372
E01032491,1193
E01032492,2095
E01032493,1397
E01032494,1900
E01032496,2197
E01032497,1617
E01032498,1681
E01032499,1709
E01032500,1360
E01032501,1170
E01032502,1873
E01032503,1458
E01032504,1789
E01032606,2089
E01032607,1267
E01032608,1099
E01032876,1830
E01032946,3090
E01033002,2137
E01033003,2230
E01033008,2062
E01033010,3372
E01033011,1296
E01033013,1402
E01033015,1477
E01033016,988
E01033021,2081
E01033031,1575
E01033033,1559
E01033034,1446
E01033035,1808
E01035040,1666
E01035041,1218
E01035042,2243
E01035043,1379
E01035044,2554
E01035045,1247
E01035046,1115
E01035047,1326
E01035048,1901
E01035049,1465
E01035050,1628
E01035051,1561
E01035052,1414
E01035053,1722
E01035054,2511
E01011740,1581
E01011741,1403
E01011742,1714
E01011743,1417
E01011744,1605
E01011745,1772
E01011746,2554
E01011747,1668
E01011748,1514
E01011750,1649
E01011751,1288
E01011752,1674
E01011753,1450
E01011754,1560
E01011755,1529
E01011756,1373
E01011757,2377
E01011758,2563
E01011759,2035
E01011761,2232
E01011762,1505
E01011763,1462
E01011764,1724
E01011765,2003
E01011766,1596
E01011767,1830
E01011768,1351
E01011770,1872
E01011771,1357
E01011772,1617
E01011773,1420
E01011774,1477
E01011776,1673
E01011777,1455
E01011778,1599
E01011779,1441
E01011780,1843
E01011781,2440
E01011782,1590
E01011783,1730
E01011784,1749
E01011785,2288
E01011786,1552
E01011787,1589
E01011788,1665
E01011789,1441
E01011790,1597
E01011791,1497
E01011792,1461
E01011793,1633
E01011794,1394
E01011795,1283
E01011796,1625
E01011797,1874
E01011798,1348
E01011799,1472
E01011800,1664
E01011801,1435
E01011802,1468
E01011803,2006
E01011804,1542
E01011805,1334
E01011806,1423
E01011807,1399
E01011808,2043
E01011809,1480
E01011810,1370
E01011811,1702
E01011812,2501
E01011813,1751
E01011814,1808
E01011815,1454
E01011816,1459
E01011817,1518
E01011818,1331
E01011819,1713
E01011820,1463
E01011821,1406
E01011822,1469
E01011823,1444
E01011824,1684
E01011825,1818
E01011826,1480
E01011827,1190
E01011828,1459
E01011829,1367
E01011830,1386
E01011831,1691
E01011832,1456
E01011833,1503
E01011834,2012
E01011835,2194
E01011836,1436
E01011837,1691
E01011838,1983
E01011839,2564
E01011840,1770
E01011841,2221
E01011842,1405
E01011843,1699
E01011844,1937
E01011845,1792
E01011846,1366
E01011847,1408
E01011848,1426
E01011849,1569
E01011850,1608
E01011851,1446
E01011852,1715
E01011853,1394
E01011854,1579
E01011855,1487
E01011856,1397
E01011857,1714
E01011858,1781
E01011859,1406
E01011860,1505
E01011861,1961
E01011862,2349
E01011863,1624
E01011864,1762
E01011865,1649
E01011866,1748
E01011867,1594
E01011868,2238
E01011869,1325
E01011870,1339
E01011871,1496
E01011872,1558
E01011873,2107
E01011874,1590
E01011875,1447
E01011876,2407
E01011877,1328
E01011878,1497
E01011879,1426
E01011880,1565
E01011881,1358
E01011882,1434
E01011883,1512
E01011884,2785
E01011885,1556
E01011886,2081
E01011887,2606
E01011888,1344
E01011889,1590
E01011890,1391
E01011891,1518
E01011892,1879
E01011893,1463
E01011894,1310
E01011895,1395
E01011896,1538
E01011897,1575
E01011898,1515
E01011899,1591
E01011900,1516
E01011901,1725
E01011902,1397
E01011903,1233
E01011904,1667
E01011905,1607
E01011906,1690
E01011907,1888
E01011908,2636
E01011909,1390
E01011910,1589
