LSOA11CD,alcohol_related,community,education,entertainment,financial,food_related,healthcare,leisure,other,parking_related,police_related,religion,residential,retail,transport,urban_utilities
E01001280,0,0,2,0,0,0,0,2,8,2,0,0,14,0,0,25
E01001281,0,0,1,0,0,0,0,9,4,0,0,0,17,0,0,4
E01001282,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0
E01001283,0,0,2,0,0,0,2,0,8,9,0,0,5,1,0,2
E01001284,0,1,1,0,0,0,0,2,5,4,0,0,0,0,0,2
E01001285,0,0,1,0,0,0,1,0,4,5,0,2,2,0,0,0
E01001286,0,1,1,0,0,0,0,2,2,2,0,0,0,0,0,2
E01001287,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
E01001288,0,0,2,0,0,4,0,0,14,6,0,0,12,2,0,0
E01001289,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
E01001290,0,0,0,0,1,6,2,4,24,18,0,2,15,5,0,44
E01001292,0,0,0,0,0,0,1,1,3,4,0,0,0,0,0,0
E01001293,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
E01001294,0,0,1,1,0,0,1,0,6,1,0,1,0,0,0,1
E01001295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E01001296,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
E01001297,0,3,0,0,0,0,2,5,18,10,0,1,0,0,0,3
E01001298,0,3,0,0,0,0,1,0,2,3,0,0,5,0,0,0
E01001299,0,1,0,0,1,6,0,3,12,7,0,0,2,2,0,0
E01001300,1,1,1,0,0,4,0,2,10,13,0,0,0,0,0,1
E01001301,2,0,1,0,0,10,8,2,32,43,0,1,44,9,0,2
E01001302,2,1,1,0,1,4,2,2,19,13,0,1,4,2,0,4
E01001303,1,2,0,0,2,6,0,1,21,35,0,0,1,3,2,13
E01001304,0,1,0,0,0,0,0,0,1,4,0,0,3,0,0,0
E01001305,0,1,0,0,0,0,2,1,1,12,0,0,3,1,0,0
E01001306,0,2,1,0,0,0,0,1,4,14,0,1,5,0,0,0
E01001307,1,0,3,0,0,8,2,3,26,11,0,1,1,5,0,7
E01001308,0,1,0,0,1,2,2,2,10,5,0,0,2,2,0,13
E01001309,1,2,4,0,0,0,0,3,9,1,0,0,2,0,0,0
E01001310,0,0,0,0,0,0,0,0,3,6,0,0,1,1,0,1
E01001311,0,1,0,0,0,0,0,5,9,4,0,0,3,1,0,0
E01001312,1,0,0,0,0,3,1,2,10,5,0,0,2,6,0,6
E01001313,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E01001314,1,0,0,0,0,1,1,0,6,4,0,1,4,2,0,10
E01001315,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0
E01001316,0,0,1,0,0,0,1,1,3,2,0,0,12,0,0,1
E01001317,0,0,1,0,0,0,0,1,8,5,0,1,9,0,0,1
E01001318,0,0,0,0,0,0,0,2,6,9,0,1,10,1,0,1
E01001320,0,0,1,0,0,0,0,7,8,3,0,0,0,1,0,1
E01001321,0,2,0,0,0,1,0,2,1,1,0,1,1,0,0,3
E01001322,0,1,1,0,0,1,0,3,3,6,1,1,9,0,0,3
E01001323,1,3,0,0,0,6,2,1,19,12,0,2,0,4,0,21
E01001324,1,0,0,0,0,1,0,1,2,3,0,0,4,0,0,5
E01001325,0,1,1,0,0,1,0,1,10,3,0,0,0,1,0,0
E01001326,0,1,1,0,0,4,0,5,15,11,0,2,10,1,0,2
E01001327,0,0,0,0,1,2,3,1,7,5,0,2,0,6,0,0
E01001328,0,2,0,0,0,3,1,9,16,8,0,0,22,7,0,7
E01001329,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0
E01001330,0,0,0,0,0,0,0,2,18,10,0,0,9,1,0,1
E01001331,0,1,1,0,0,0,0,1,2,0,0,0,14,0,0,0
E01001332,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0
E01001333,0,0,3,0,0,1,0,4,26,13,0,3,4,0,0,1
E01001334,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0
E01001335,1,1,2,0,0,2,0,3,17,4,0,1,3,1,0,35
E01001336,1,0,1,0,0,2,0,1,12,1,0,0,4,0,0,4
E01001337,0,0,0,0,0,2,3,9,12,9,0,1,3,1,0,6
E01001338,0,0,1,1,0,0,0,0,9,3,0,1,5,0,0,0
E01001339,0,2,1,0,0,0,2,4,14,7,0,0,6,3,0,5
E01001340,0,1,0,0,0,0,0,1,1,2,0,0,2,1,0,0
E01001341,0,1,1,0,0,0,0,0,1,6,0,1,1,0,0,1
E01001342,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0
E01001343,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
E01001344,0,3,0,0,0,1,0,3,3,6,0,0,5,0,0,4
E01001345,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
E01001346,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
E01001347,0,0,1,0,1,3,0,1,4,4,0,1,0,2,0,2
E01001348,2,2,0,0,1,3,2,0,16,14,0,1,10,3,0,5
E01001349,0,2,0,0,0,1,0,6,21,7,0,0,0,0,0,16
E01001350,0,0,2,0,0,0,0,2,22,1,0,0,0,0,0,1
E01001351,4,2,2,1,0,15,3,2,22,25,1,4,1,4,0,28
E01001352,1,1,0,0,1,7,0,0,7,14,0,1,1,5,0,7
E01001353,0,4,0,0,0,3,0,6,10,6,0,0,11,1,0,11
E01001354,0,1,1,0,1,4,3,1,7,15,0,0,33,3,0,24
E01001355,0,0,1,1,1,9,0,1,18,21,0,2,8,2,0,6
E01001356,0,2,0,0,0,2,2,3,5,3,0,1,9,0,0,1
E01001357,0,2,0,0,0,1,1,4,3,5,0,0,36,1,0,23
E01001358,0,0,1,0,1,1,0,3,13,7,0,0,22,0,0,4
E01001359,0,0,1,0,0,1,0,0,2,19,0,1,0,0,0,0
E01001360,0,0,1,0,0,0,0,1,4,1,0,2,8,0,0,0
E01001361,1,2,1,0,13,25,7,2,91,30,0,3,27,20,0,24
E01001362,0,0,2,0,1,2,1,1,4,8,0,1,3,1,0,3
E01001363,1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,1
E01001364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E01001365,0,0,1,0,0,1,0,1,7,4,0,0,0,0,0,2
E01001366,1,2,0,0,0,0,0,1,3,0,0,0,0,1,0,0
E01001367,1,3,0,0,3,4,1,0,17,16,0,5,2,1,0,0
E01001368,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
E01001369,0,0,0,0,0,0,2,0,2,7,0,2,5,1,0,0
E01001370,0,0,1,0,0,1,0,0,3,0,0,1,0,2,0,1
E01001371,2,1,1,0,0,0,0,2,13,3,0,1,3,1,0,0
E01001372,0,0,1,0,0,0,0,1,7,1,0,1,3,1,0,0
E01001373,0,0,0,0,0,0,1,1,1,2,0,0,4,0,0,0
E01001374,0,0,0,0,0,0,2,0,1,6,0,0,0,1,0,0
E01001375,0,0,1,0,0,0,0,0,4,9,0,1,0,1,0,2
E01001376,0,0,0,0,0,0,0,1,14,7,0,0,6,0,0,22
E01001377,0,0,1,0,0,0,0,0,3,1,0,1,9,0,0,0
E01001379,1,0,0,0,0,3,0,0,5,7,0,0,0,0,0,0
E01001380,1,0,0,0,0,0,0,1,3,12,0,1,5,1,0,0
E01001381,0,1,0,0,0,11,4,1,16,22,0,1,5,3,0,6
E01001382,0,1,0,0,0,0,0,3,9,11,0,1,0,0,0,29
E01001383,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
E01001384,1,1,0,0,0,10,4,0,26,16,0,1,5,4,0,9
E01001385,2,0,0,0,1,17,5,1,39,28,0,0,2,1,0,23
E01001386,2,0,2,2,1,13,2,4,33,21,0,2,2,2,0,69
E01001387,0,0,4,1,0,3,2,0,10,38,1,0,33,1,0,56
E01001388,3,3,0,0,0,16,2,3,58,22,0,2,29,4,0,20
E01001389,0,2,0,1,3,11,3,0,77,37,0,2,4,9,0,9
E01001390,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0
E01001391,0,3,0,0,0,0,0,2,13,2,0,2,95,0,0,2
E01001392,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
E01001393,0,0,0,1,0,2,0,0,13,3,0,1,84,1,1,0
E01001394,1,0,2,0,0,3,1,0,14,7,0,0,14,2,0,0
E01001395,0,1,0,0,0,0,0,2,3,3,0,0,0,0,0,7
E01001396,1,0,0,0,0,15,0,0,24,0,0,1,0,6,0,0
E01001397,0,1,0,0,0,0,0,3,5,2,0,0,29,0,0,12
